date,campaign_id,geo,cost,impressions,clicks,conversions
2023-07-29 0:00:00,64441550,United States-TX,107.86,2486,1737,294
2023-08-14 0:00:00,64441550,United States-OH,230.99,2465,1747,275
2023-08-12 0:00:00,64441550,United States-GA,214.94,2461,1306,352
2023-08-04 0:00:00,55304737,United States-NY,123.74,1069,1356,317
2023-08-19 0:00:00,86363015,United States-GA,122.74,1248,1290,388
2023-07-29 0:00:00,99058240,United States-GA,162.58,1025,1724,346
2023-08-03 0:00:00,89363211,United States-GA,223.92,1676,1714,480
2023-07-28 0:00:00,89363211,United States-OH,157.63,1166,1301,473
2023-08-02 0:00:00,64441550,United States-TX,102.97,1532,1806,470
2023-08-17 0:00:00,99058240,United States-OH,227.24,1550,1236,442
2023-08-13 0:00:00,55304737,United States-TX,215.55,2170,1430,268
2023-07-27 0:00:00,89363211,United States-TX,106.19,2295,1139,287
2023-08-14 0:00:00,89363211,United States-TX,168.6,1940,1587,411
2023-08-10 0:00:00,89363211,United States-TX,193.18,2128,1030,481
2023-07-30 0:00:00,86363015,United States-CA,198.19,1873,1479,287
2023-08-11 0:00:00,89363211,United States-OH,176.48,1050,1418,449
2023-08-17 0:00:00,89363211,United States-GA,219.56,1742,1113,465
2023-07-28 0:00:00,55304737,United States-CA,141.84,2216,1030,456
2023-07-28 0:00:00,86363015,United States-TX,117.77,2469,1617,499
2023-08-03 0:00:00,89363211,United States-GA,171.03,1513,1591,267
2023-08-12 0:00:00,89363211,United States-CA,211.66,1799,1288,354
2023-08-11 0:00:00,64441550,United States-GA,179.42,1228,1283,479
2023-07-26 0:00:00,64441550,United States-GA,208.19,1547,1576,410
2023-07-24 0:00:00,64441550,United States-GA,176.21,1423,1709,327
2023-07-28 0:00:00,89363211,United States-OH,238.95,2291,1059,305
2023-08-04 0:00:00,89363211,United States-NY,108.93,2185,1266,479
2023-07-30 0:00:00,64441550,United States-NY,169.59,1128,1744,411
2023-08-05 0:00:00,99058240,United States-GA,192.63,1088,1849,326
2023-08-14 0:00:00,55304737,United States-GA,198.12,1368,1126,475
2023-08-12 0:00:00,86363015,United States-NY,222.99,2328,1167,377
