date,campaign_id,state,revenue
2023-07-24 0:00:00,64441550,GA,6370
2023-08-02 0:00:00,89363211,CA,6676
2023-08-03 0:00:00,86363015,CA,6239
2023-07-24 0:00:00,55304737,TX,6607
2023-08-17 0:00:00,86363015,NY,7014
2023-08-13 0:00:00,99058240,GA,6765
2023-07-30 0:00:00,55304737,TX,6803
2023-08-07 0:00:00,89363211,NY,5600
2023-07-27 0:00:00,86363015,CA,6920
2023-08-09 0:00:00,55304737,NY,6406
2023-08-15 0:00:00,86363015,TX,6556
2023-08-07 0:00:00,99058240,GA,6371
2023-07-26 0:00:00,64441550,TX,7033
2023-07-29 0:00:00,99058240,NY,7147
2023-08-21 0:00:00,89363211,CA,5249
2023-08-09 0:00:00,99058240,OH,5989
2023-08-05 0:00:00,64441550,OH,5571
2023-07-28 0:00:00,55304737,GA,6964
2023-07-31 0:00:00,99058240,GA,6973
2023-08-15 0:00:00,86363015,NY,6673
2023-07-31 0:00:00,89363211,OH,6743
2023-07-26 0:00:00,55304737,GA,6223
2023-08-05 0:00:00,89363211,OH,6003
2023-08-11 0:00:00,55304737,OH,5824
2023-08-19 0:00:00,89363211,TX,7081
2023-08-02 0:00:00,99058240,NY,7093
2023-08-10 0:00:00,89363211,CA,6335
2023-08-09 0:00:00,86363015,OH,7447
2023-07-24 0:00:00,99058240,CA,5130
2023-08-03 0:00:00,89363211,NY,6465
